Date,SKU_ID,Product_Name,Demand,Units_Sold,Current_Stock,Unit_Cost,EOQ,Safety_Stock,Reorder_Point,Stockout_Risk
2024-02-23,SKU_001,Aashirvaad Atta 5kg,165,165,182,260,739,92,842,0
2024-02-24,SKU_001,Aashirvaad Atta 5kg,222,182,0,260,739,92,842,1
2024-02-25,SKU_001,Aashirvaad Atta 5kg,204,204,535,260,739,92,842,0
2024-02-26,SKU_001,Aashirvaad Atta 5kg,135,135,400,260,739,92,842,0
2024-02-27,SKU_001,Aashirvaad Atta 5kg,113,113,287,260,739,92,842,0
2024-02-28,SKU_001,Aashirvaad Atta 5kg,135,135,152,260,739,92,842,0
2024-02-29,SKU_001,Aashirvaad Atta 5kg,160,152,0,260,739,92,842,1
2024-03-01,SKU_001,Aashirvaad Atta 5kg,193,193,546,260,739,92,842,0
2024-03-02,SKU_001,Aashirvaad Atta 5kg,245,245,301,260,739,92,842,0
2024-03-03,SKU_001,Aashirvaad Atta 5kg,182,182,119,260,739,92,842,0
2024-03-04,SKU_001,Aashirvaad Atta 5kg,126,119,0,260,739,92,842,1
2024-03-05,SKU_001,Aashirvaad Atta 5kg,97,0,0,260,739,92,842,1
2024-03-06,SKU_001,Aashirvaad Atta 5kg,149,149,590,260,739,92,842,0
2024-03-07,SKU_001,Aashirvaad Atta 5kg,122,122,468,260,739,92,842,0
2024-03-08,SKU_001,Aashirvaad Atta 5kg,206,206,262,260,739,92,842,0
2024-03-09,SKU_001,Aashirvaad Atta 5kg,243,243,19,260,739,92,842,0
2024-03-10,SKU_001,Aashirvaad Atta 5kg,178,19,0,260,739,92,842,1
2024-03-11,SKU_001,Aashirvaad Atta 5kg,110,110,629,260,739,92,842,0
2024-03-12,SKU_001,Aashirvaad Atta 5kg,116,116,513,260,739,92,842,0
2024-03-13,SKU_001,Aashirvaad Atta 5kg,138,138,375,260,739,92,842,0
2024-03-14,SKU_001,Aashirvaad Atta 5kg,152,152,223,260,739,92,842,0
2024-03-15,SKU_001,Aashirvaad Atta 5kg,203,203,20,260,739,92,842,0
2024-03-16,SKU_001,Aashirvaad Atta 5kg,205,20,0,260,739,92,842,1
2024-03-17,SKU_001,Aashirvaad Atta 5kg,239,0,0,260,739,92,842,1
2024-03-18,SKU_001,Aashirvaad Atta 5kg,131,131,608,260,739,92,842,0
2024-03-19,SKU_001,Aashirvaad Atta 5kg,112,112,496,260,739,92,842,0
2024-03-20,SKU_001,Aashirvaad Atta 5kg,120,120,376,260,739,92,842,0
2024-03-21,SKU_001,Aashirvaad Atta 5kg,119,119,257,260,739,92,842,0
2024-03-22,SKU_001,Aashirvaad Atta 5kg,147,147,110,260,739,92,842,0
2024-03-23,SKU_001,Aashirvaad Atta 5kg,204,110,0,260,739,92,842,1
2024-03-24,SKU_001,Aashirvaad Atta 5kg,203,0,0,260,739,92,842,1
2024-03-25,SKU_001,Aashirvaad Atta 5kg,127,127,612,260,739,92,842,0
2024-03-26,SKU_001,Aashirvaad Atta 5kg,122,122,490,260,739,92,842,0
2024-03-27,SKU_001,Aashirvaad Atta 5kg,119,119,371,260,739,92,842,0
2024-03-28,SKU_001,Aashirvaad Atta 5kg,121,121,250,260,739,92,842,0
2024-03-29,SKU_001,Aashirvaad Atta 5kg,209,209,41,260,739,92,842,0
2024-03-30,SKU_001,Aashirvaad Atta 5kg,189,189,591,260,739,92,842,0
2024-03-31,SKU_001,Aashirvaad Atta 5kg,256,256,335,260,739,92,842,0
2024-04-01,SKU_001,Aashirvaad Atta 5kg,131,131,204,260,739,92,842,0
2024-04-02,SKU_001,Aashirvaad Atta 5kg,132,132,72,260,739,92,842,0
2024-04-03,SKU_001,Aashirvaad Atta 5kg,125,72,0,260,739,92,842,1
2024-04-04,SKU_001,Aashirvaad Atta 5kg,86,86,653,260,739,92,842,0
2024-04-05,SKU_001,Aashirvaad Atta 5kg,194,194,459,260,739,92,842,0
2024-04-06,SKU_001,Aashirvaad Atta 5kg,198,198,261,260,739,92,842,0
2024-04-07,SKU_001,Aashirvaad Atta 5kg,180,180,81,260,739,92,842,0
2024-04-08,SKU_001,Aashirvaad Atta 5kg,113,81,0,260,739,92,842,1
2024-04-09,SKU_001,Aashirvaad Atta 5kg,127,127,612,260,739,92,842,0
2024-04-10,SKU_001,Aashirvaad Atta 5kg,123,123,489,260,739,92,842,0
2024-04-11,SKU_001,Aashirvaad Atta 5kg,133,133,356,260,739,92,842,0
2024-04-12,SKU_001,Aashirvaad Atta 5kg,193,193,163,260,739,92,842,0
2024-04-13,SKU_001,Aashirvaad Atta 5kg,157,157,6,260,739,92,842,0
2024-04-14,SKU_001,Aashirvaad Atta 5kg,232,232,513,260,739,92,842,0
2024-04-15,SKU_001,Aashirvaad Atta 5kg,143,143,370,260,739,92,842,0
2024-04-16,SKU_001,Aashirvaad Atta 5kg,110,110,260,260,739,92,842,0
2024-04-17,SKU_001,Aashirvaad Atta 5kg,156,156,104,260,739,92,842,0
2024-04-18,SKU_001,Aashirvaad Atta 5kg,157,104,0,260,739,92,842,1
2024-04-19,SKU_001,Aashirvaad Atta 5kg,240,240,499,260,739,92,842,0
2024-04-20,SKU_001,Aashirvaad Atta 5kg,162,162,337,260,739,92,842,0
2024-04-21,SKU_001,Aashirvaad Atta 5kg,176,176,161,260,739,92,842,0
2024-04-22,SKU_001,Aashirvaad Atta 5kg,129,129,32,260,739,92,842,0
2024-04-23,SKU_001,Aashirvaad Atta 5kg,116,32,0,260,739,92,842,1
2024-04-24,SKU_001,Aashirvaad Atta 5kg,94,94,645,260,739,92,842,0
2024-04-25,SKU_001,Aashirvaad Atta 5kg,128,128,517,260,739,92,842,0
2024-04-26,SKU_001,Aashirvaad Atta 5kg,212,212,305,260,739,92,842,0
2024-04-27,SKU_001,Aashirvaad Atta 5kg,165,165,140,260,739,92,842,0
2024-04-28,SKU_001,Aashirvaad Atta 5kg,215,140,0,260,739,92,842,1
2024-04-29,SKU_001,Aashirvaad Atta 5kg,124,124,615,260,739,92,842,0
2024-04-30,SKU_001,Aashirvaad Atta 5kg,110,110,505,260,739,92,842,0
2024-05-01,SKU_001,Aashirvaad Atta 5kg,120,120,385,260,739,92,842,0
2024-05-02,SKU_001,Aashirvaad Atta 5kg,144,144,241,260,739,92,842,0
2024-05-03,SKU_001,Aashirvaad Atta 5kg,154,154,87,260,739,92,842,0
2024-05-04,SKU_001,Aashirvaad Atta 5kg,202,202,624,260,739,92,842,0
2024-05-05,SKU_001,Aashirvaad Atta 5kg,237,237,387,260,739,92,842,0
2024-05-06,SKU_001,Aashirvaad Atta 5kg,120,120,267,260,739,92,842,0
2024-05-07,SKU_001,Aashirvaad Atta 5kg,123,123,144,260,739,92,842,0
2024-05-08,SKU_001,Aashirvaad Atta 5kg,96,96,48,260,739,92,842,0
2024-05-09,SKU_001,Aashirvaad Atta 5kg,152,152,635,260,739,92,842,0
2024-05-10,SKU_001,Aashirvaad Atta 5kg,211,211,424,260,739,92,842,0
2024-05-11,SKU_001,Aashirvaad Atta 5kg,204,204,220,260,739,92,842,0
2024-05-12,SKU_001,Aashirvaad Atta 5kg,203,203,17,260,739,92,842,0
2024-05-13,SKU_001,Aashirvaad Atta 5kg,134,17,0,260,739,92,842,1
2024-05-14,SKU_001,Aashirvaad Atta 5kg,113,113,626,260,739,92,842,0
2024-05-15,SKU_001,Aashirvaad Atta 5kg,132,132,494,260,739,92,842,0
2024-05-16,SKU_001,Aashirvaad Atta 5kg,132,132,362,260,739,92,842,0
2024-05-17,SKU_001,Aashirvaad Atta 5kg,222,222,140,260,739,92,842,0
2024-05-18,SKU_001,Aashirvaad Atta 5kg,200,140,0,260,739,92,842,1
2024-05-19,SKU_001,Aashirvaad Atta 5kg,155,155,584,260,739,92,842,0
2024-05-20,SKU_001,Aashirvaad Atta 5kg,102,102,482,260,739,92,842,0
2024-05-21,SKU_001,Aashirvaad Atta 5kg,141,141,341,260,739,92,842,0
2024-05-22,SKU_001,Aashirvaad Atta 5kg,106,106,235,260,739,92,842,0
2024-05-23,SKU_001,Aashirvaad Atta 5kg,144,144,91,260,739,92,842,0
2024-05-24,SKU_001,Aashirvaad Atta 5kg,232,232,598,260,739,92,842,0
2024-05-25,SKU_001,Aashirvaad Atta 5kg,168,168,430,260,739,92,842,0
2024-05-26,SKU_001,Aashirvaad Atta 5kg,208,208,222,260,739,92,842,0
2024-05-27,SKU_001,Aashirvaad Atta 5kg,147,147,75,260,739,92,842,0
2024-05-28,SKU_001,Aashirvaad Atta 5kg,109,75,0,260,739,92,842,1
2024-05-29,SKU_001,Aashirvaad Atta 5kg,130,130,609,260,739,92,842,0
2024-05-30,SKU_001,Aashirvaad Atta 5kg,108,108,501,260,739,92,842,0
2024-05-31,SKU_001,Aashirvaad Atta 5kg,168,168,333,260,739,92,842,0
2024-06-01,SKU_001,Aashirvaad Atta 5kg,192,192,141,260,739,92,842,0
2024-06-02,SKU_001,Aashirvaad Atta 5kg,206,141,0,260,739,92,842,1
2024-06-03,SKU_001,Aashirvaad Atta 5kg,133,133,606,260,739,92,842,0
2024-06-04,SKU_001,Aashirvaad Atta 5kg,145,145,461,260,739,92,842,0
2024-06-05,SKU_001,Aashirvaad Atta 5kg,185,185,276,260,739,92,842,0
2024-06-06,SKU_001,Aashirvaad Atta 5kg,129,129,147,260,739,92,842,0
2024-06-07,SKU_001,Aashirvaad Atta 5kg,149,147,0,260,739,92,842,1
2024-06-08,SKU_001,Aashirvaad Atta 5kg,193,193,546,260,739,92,842,0
2024-06-09,SKU_001,Aashirvaad Atta 5kg,160,160,386,260,739,92,842,0
2024-06-10,SKU_001,Aashirvaad Atta 5kg,137,137,249,260,739,92,842,0
2024-06-11,SKU_001,Aashirvaad Atta 5kg,122,122,127,260,739,92,842,0
2024-06-12,SKU_001,Aashirvaad Atta 5kg,142,127,0,260,739,92,842,1
2024-06-13,SKU_001,Aashirvaad Atta 5kg,137,137,602,260,739,92,842,0
2024-06-14,SKU_001,Aashirvaad Atta 5kg,192,192,410,260,739,92,842,0
2024-06-15,SKU_001,Aashirvaad Atta 5kg,180,180,230,260,739,92,842,0
2024-06-16,SKU_001,Aashirvaad Atta 5kg,220,220,10,260,739,92,842,0
2024-06-17,SKU_001,Aashirvaad Atta 5kg,149,10,0,260,739,92,842,1
2024-06-18,SKU_001,Aashirvaad Atta 5kg,120,0,0,260,739,92,842,1
2024-06-19,SKU_001,Aashirvaad Atta 5kg,107,0,0,260,739,92,842,1
2024-06-20,SKU_001,Aashirvaad Atta 5kg,116,116,623,260,739,92,842,0
2024-06-21,SKU_001,Aashirvaad Atta 5kg,200,200,423,260,739,92,842,0
2024-06-22,SKU_001,Aashirvaad Atta 5kg,207,207,216,260,739,92,842,0
2024-06-23,SKU_001,Aashirvaad Atta 5kg,166,166,50,260,739,92,842,0
2024-06-24,SKU_001,Aashirvaad Atta 5kg,130,50,0,260,739,92,842,1
2024-06-25,SKU_001,Aashirvaad Atta 5kg,128,128,611,260,739,92,842,0
2024-06-26,SKU_001,Aashirvaad Atta 5kg,103,103,508,260,739,92,842,0
2024-06-27,SKU_001,Aashirvaad Atta 5kg,146,146,362,260,739,92,842,0
2024-06-28,SKU_001,Aashirvaad Atta 5kg,229,229,133,260,739,92,842,0
2024-06-29,SKU_001,Aashirvaad Atta 5kg,163,133,0,260,739,92,842,1
2024-06-30,SKU_001,Aashirvaad Atta 5kg,239,0,0,260,739,92,842,1
2024-07-01,SKU_001,Aashirvaad Atta 5kg,146,0,0,260,739,92,842,1
2024-07-02,SKU_001,Aashirvaad Atta 5kg,114,114,625,260,739,92,842,0
2024-07-03,SKU_001,Aashirvaad Atta 5kg,138,138,487,260,739,92,842,0
2024-07-04,SKU_001,Aashirvaad Atta 5kg,209,209,278,260,739,92,842,0
2024-07-05,SKU_001,Aashirvaad Atta 5kg,213,213,65,260,739,92,842,0
2024-07-06,SKU_001,Aashirvaad Atta 5kg,231,65,0,260,739,92,842,1
2024-07-07,SKU_001,Aashirvaad Atta 5kg,226,226,513,260,739,92,842,0
2024-07-08,SKU_001,Aashirvaad Atta 5kg,141,141,372,260,739,92,842,0
2024-07-09,SKU_001,Aashirvaad Atta 5kg,103,103,269,260,739,92,842,0
2024-07-10,SKU_001,Aashirvaad Atta 5kg,95,95,174,260,739,92,842,0
2024-07-11,SKU_001,Aashirvaad Atta 5kg,131,131,43,260,739,92,842,0
2024-07-12,SKU_001,Aashirvaad Atta 5kg,167,43,0,260,739,92,842,1
2024-07-13,SKU_001,Aashirvaad Atta 5kg,193,0,0,260,739,92,842,1
2024-07-14,SKU_001,Aashirvaad Atta 5kg,177,177,562,260,739,92,842,0
2024-07-15,SKU_001,Aashirvaad Atta 5kg,142,142,420,260,739,92,842,0
2024-07-16,SKU_001,Aashirvaad Atta 5kg,93,93,327,260,739,92,842,0
2024-07-17,SKU_001,Aashirvaad Atta 5kg,117,117,210,260,739,92,842,0
2024-07-18,SKU_001,Aashirvaad Atta 5kg,150,150,60,260,739,92,842,0
2024-07-19,SKU_001,Aashirvaad Atta 5kg,197,197,602,260,739,92,842,0
2024-07-20,SKU_001,Aashirvaad Atta 5kg,159,159,443,260,739,92,842,0
2024-07-21,SKU_001,Aashirvaad Atta 5kg,212,212,231,260,739,92,842,0
2024-07-22,SKU_001,Aashirvaad Atta 5kg,100,100,131,260,739,92,842,0
2024-07-23,SKU_001,Aashirvaad Atta 5kg,178,131,0,260,739,92,842,1
2024-07-24,SKU_001,Aashirvaad Atta 5kg,166,166,573,260,739,92,842,0
2024-07-25,SKU_001,Aashirvaad Atta 5kg,84,84,489,260,739,92,842,0
2024-07-26,SKU_001,Aashirvaad Atta 5kg,201,201,288,260,739,92,842,0
2024-07-27,SKU_001,Aashirvaad Atta 5kg,173,173,115,260,739,92,842,0
2024-07-28,SKU_001,Aashirvaad Atta 5kg,222,115,0,260,739,92,842,1
2024-07-29,SKU_001,Aashirvaad Atta 5kg,110,110,629,260,739,92,842,0
2024-07-30,SKU_001,Aashirvaad Atta 5kg,125,125,504,260,739,92,842,0
2024-07-31,SKU_001,Aashirvaad Atta 5kg,111,111,393,260,739,92,842,0
2024-08-01,SKU_001,Aashirvaad Atta 5kg,162,162,231,260,739,92,842,0
2024-08-02,SKU_001,Aashirvaad Atta 5kg,184,184,47,260,739,92,842,0
2024-08-03,SKU_001,Aashirvaad Atta 5kg,184,184,602,260,739,92,842,0
2024-08-04,SKU_001,Aashirvaad Atta 5kg,252,252,350,260,739,92,842,0
2024-08-05,SKU_001,Aashirvaad Atta 5kg,136,136,214,260,739,92,842,0
2024-08-06,SKU_001,Aashirvaad Atta 5kg,100,100,114,260,739,92,842,0
2024-08-07,SKU_001,Aashirvaad Atta 5kg,147,114,0,260,739,92,842,1
2024-08-08,SKU_001,Aashirvaad Atta 5kg,172,172,567,260,739,92,842,0
2024-08-09,SKU_001,Aashirvaad Atta 5kg,228,228,339,260,739,92,842,0
2024-08-10,SKU_001,Aashirvaad Atta 5kg,171,171,168,260,739,92,842,0
2024-08-11,SKU_001,Aashirvaad Atta 5kg,153,153,15,260,739,92,842,0
2024-08-12,SKU_001,Aashirvaad Atta 5kg,122,15,0,260,739,92,842,1
2024-08-13,SKU_001,Aashirvaad Atta 5kg,167,167,572,260,739,92,842,0
2024-08-14,SKU_001,Aashirvaad Atta 5kg,58,58,514,260,739,92,842,0
2024-08-15,SKU_001,Aashirvaad Atta 5kg,105,105,409,260,739,92,842,0
2024-08-16,SKU_001,Aashirvaad Atta 5kg,186,186,223,260,739,92,842,0
2024-08-17,SKU_001,Aashirvaad Atta 5kg,154,154,69,260,739,92,842,0
2024-08-18,SKU_001,Aashirvaad Atta 5kg,248,248,560,260,739,92,842,0
2024-08-19,SKU_001,Aashirvaad Atta 5kg,97,97,463,260,739,92,842,0
2024-08-20,SKU_001,Aashirvaad Atta 5kg,124,124,339,260,739,92,842,0
2024-08-21,SKU_001,Aashirvaad Atta 5kg,117,117,222,260,739,92,842,0
2024-08-22,SKU_001,Aashirvaad Atta 5kg,128,128,94,260,739,92,842,0
2024-08-23,SKU_001,Aashirvaad Atta 5kg,271,271,562,260,739,92,842,0
2024-08-24,SKU_001,Aashirvaad Atta 5kg,163,163,399,260,739,92,842,0
2024-08-25,SKU_001,Aashirvaad Atta 5kg,210,210,189,260,739,92,842,0
2024-08-26,SKU_001,Aashirvaad Atta 5kg,131,131,58,260,739,92,842,0
2024-08-27,SKU_001,Aashirvaad Atta 5kg,114,58,0,260,739,92,842,1
2024-08-28,SKU_001,Aashirvaad Atta 5kg,128,0,0,260,739,92,842,1
2024-08-29,SKU_001,Aashirvaad Atta 5kg,119,0,0,260,739,92,842,1
2024-08-30,SKU_001,Aashirvaad Atta 5kg,198,198,541,260,739,92,842,0
2024-08-31,SKU_001,Aashirvaad Atta 5kg,216,216,325,260,739,92,842,0
2024-09-01,SKU_001,Aashirvaad Atta 5kg,175,175,150,260,739,92,842,0
2024-09-02,SKU_001,Aashirvaad Atta 5kg,172,150,0,260,739,92,842,1
2024-09-03,SKU_001,Aashirvaad Atta 5kg,142,0,0,260,739,92,842,1
2024-09-04,SKU_001,Aashirvaad Atta 5kg,129,129,610,260,739,92,842,0
2024-09-05,SKU_001,Aashirvaad Atta 5kg,133,133,477,260,739,92,842,0
2024-09-06,SKU_001,Aashirvaad Atta 5kg,174,174,303,260,739,92,842,0
2024-09-07,SKU_001,Aashirvaad Atta 5kg,188,188,115,260,739,92,842,0
2024-09-08,SKU_001,Aashirvaad Atta 5kg,178,115,0,260,739,92,842,1
2024-09-09,SKU_001,Aashirvaad Atta 5kg,114,114,625,260,739,92,842,0
2024-09-10,SKU_001,Aashirvaad Atta 5kg,145,145,480,260,739,92,842,0
2024-09-11,SKU_001,Aashirvaad Atta 5kg,147,147,333,260,739,92,842,0
2024-09-12,SKU_001,Aashirvaad Atta 5kg,158,158,175,260,739,92,842,0
2024-09-13,SKU_001,Aashirvaad Atta 5kg,206,175,0,260,739,92,842,1
2024-09-14,SKU_001,Aashirvaad Atta 5kg,213,213,526,260,739,92,842,0
2024-09-15,SKU_001,Aashirvaad Atta 5kg,168,168,358,260,739,92,842,0
2024-09-16,SKU_001,Aashirvaad Atta 5kg,115,115,243,260,739,92,842,0
2024-09-17,SKU_001,Aashirvaad Atta 5kg,143,143,100,260,739,92,842,0
2024-09-18,SKU_001,Aashirvaad Atta 5kg,140,100,0,260,739,92,842,1
2024-09-19,SKU_001,Aashirvaad Atta 5kg,127,127,612,260,739,92,842,0
2024-09-20,SKU_001,Aashirvaad Atta 5kg,198,198,414,260,739,92,842,0
2024-09-21,SKU_001,Aashirvaad Atta 5kg,173,173,241,260,739,92,842,0
2024-09-22,SKU_001,Aashirvaad Atta 5kg,232,232,9,260,739,92,842,0
2024-09-23,SKU_001,Aashirvaad Atta 5kg,160,9,0,260,739,92,842,1
2024-09-24,SKU_001,Aashirvaad Atta 5kg,118,118,621,260,739,92,842,0
2024-09-25,SKU_001,Aashirvaad Atta 5kg,155,155,466,260,739,92,842,0
2024-09-26,SKU_001,Aashirvaad Atta 5kg,127,127,339,260,739,92,842,0
2024-09-27,SKU_001,Aashirvaad Atta 5kg,217,217,122,260,739,92,842,0
2024-09-28,SKU_001,Aashirvaad Atta 5kg,184,122,0,260,739,92,842,1
2024-09-29,SKU_001,Aashirvaad Atta 5kg,205,205,534,260,739,92,842,0
2024-09-30,SKU_001,Aashirvaad Atta 5kg,124,124,410,260,739,92,842,0
2024-10-01,SKU_001,Aashirvaad Atta 5kg,168,168,242,260,739,92,842,0
2024-10-02,SKU_001,Aashirvaad Atta 5kg,150,150,92,260,739,92,842,0
2024-10-03,SKU_001,Aashirvaad Atta 5kg,89,89,3,260,739,92,842,0
2024-10-04,SKU_001,Aashirvaad Atta 5kg,180,3,0,260,739,92,842,1
2024-10-05,SKU_001,Aashirvaad Atta 5kg,234,0,0,260,739,92,842,1
2024-10-06,SKU_001,Aashirvaad Atta 5kg,156,156,583,260,739,92,842,0
2024-10-07,SKU_001,Aashirvaad Atta 5kg,140,140,443,260,739,92,842,0
2024-10-08,SKU_001,Aashirvaad Atta 5kg,140,140,303,260,739,92,842,0
2024-10-09,SKU_001,Aashirvaad Atta 5kg,127,127,176,260,739,92,842,0
2024-10-10,SKU_001,Aashirvaad Atta 5kg,108,108,68,260,739,92,842,0
2024-10-11,SKU_001,Aashirvaad Atta 5kg,197,197,610,260,739,92,842,0
2024-10-12,SKU_001,Aashirvaad Atta 5kg,172,172,438,260,739,92,842,0
2024-10-13,SKU_001,Aashirvaad Atta 5kg,184,184,254,260,739,92,842,0
2024-10-14,SKU_001,Aashirvaad Atta 5kg,144,144,110,260,739,92,842,0
2024-10-15,SKU_001,Aashirvaad Atta 5kg,140,110,0,260,739,92,842,1
2024-10-16,SKU_001,Aashirvaad Atta 5kg,156,156,583,260,739,92,842,0
2024-10-17,SKU_001,Aashirvaad Atta 5kg,132,132,451,260,739,92,842,0
2024-10-18,SKU_001,Aashirvaad Atta 5kg,178,178,273,260,739,92,842,0
2024-10-19,SKU_001,Aashirvaad Atta 5kg,179,179,94,260,739,92,842,0
2024-10-20,SKU_001,Aashirvaad Atta 5kg,202,94,0,260,739,92,842,1
2024-10-21,SKU_001,Aashirvaad Atta 5kg,96,96,643,260,739,92,842,0
2024-10-22,SKU_001,Aashirvaad Atta 5kg,97,97,546,260,739,92,842,0
2024-10-23,SKU_001,Aashirvaad Atta 5kg,113,113,433,260,739,92,842,0
2024-10-24,SKU_001,Aashirvaad Atta 5kg,156,156,277,260,739,92,842,0
2024-10-25,SKU_001,Aashirvaad Atta 5kg,128,128,149,260,739,92,842,0
2024-10-26,SKU_001,Aashirvaad Atta 5kg,246,246,642,260,739,92,842,0
2024-10-27,SKU_001,Aashirvaad Atta 5kg,194,194,448,260,739,92,842,0
2024-10-28,SKU_001,Aashirvaad Atta 5kg,106,106,342,260,739,92,842,0
2024-10-29,SKU_001,Aashirvaad Atta 5kg,127,127,215,260,739,92,842,0
2024-10-30,SKU_001,Aashirvaad Atta 5kg,121,121,94,260,739,92,842,0
2024-10-31,SKU_001,Aashirvaad Atta 5kg,134,94,0,260,739,92,842,1
2024-11-01,SKU_001,Aashirvaad Atta 5kg,168,0,0,260,739,92,842,1
2024-11-02,SKU_001,Aashirvaad Atta 5kg,211,211,528,260,739,92,842,0
2024-11-03,SKU_001,Aashirvaad Atta 5kg,244,244,284,260,739,92,842,0
2024-11-04,SKU_001,Aashirvaad Atta 5kg,96,96,188,260,739,92,842,0
2024-11-05,SKU_001,Aashirvaad Atta 5kg,109,109,79,260,739,92,842,0
2024-11-06,SKU_001,Aashirvaad Atta 5kg,120,79,0,260,739,92,842,1
2024-11-07,SKU_001,Aashirvaad Atta 5kg,137,0,0,260,739,92,842,1
2024-11-08,SKU_001,Aashirvaad Atta 5kg,197,0,0,260,739,92,842,1
2024-11-09,SKU_001,Aashirvaad Atta 5kg,226,226,513,260,739,92,842,0
